Ticker,Price,vs_50_SMA%,ATR%,Vol_vs_50d_Low%,Vol_Low_Flag,VCP_Status,VCP_Score,Dist_to_Pivot%,Pullback_Status,Pullback_Score,AD,EPS_Rating,Ind_Rank,Next_Earnings,RS_Rating,RS_Trend,RS_Div,Corr_Div,Brk_Order,Exh_Score,Exh_Status,Dist_Score,Dist_Status,Viol,V_Sc,Link
AEHR,129.23,39.2,10.26,200.1,No,No VCP,0,,No Pullback,0,B,77,1/36,2026-04-07,98,Up,Partial,Weak,1/1,48,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=AEHR
SYRE,104.09,12.53,6.05,96.3,No,VCP Forming,59,3.75,Pulling Back,62,C,,3/36,2026-08-04,98,Up,No,Moderate,N/A,8,Normal,0,Normal,Clean,7,https://www.tradingview.com/chart/?symbol=SYRE
BLZE,19.34,46.78,8.72,161.4,No,No VCP,0,,No Pullback,0,C,,2/36,2026-08-03,98,Up,Partial,Weak,1/3,45,Late Stage,0,Normal,Clean,8,https://www.tradingview.com/chart/?symbol=BLZE
ORKA,107.4,26.83,4.99,202.9,No,No VCP,0,,No Pullback,0,C,,3/36,2026-08-10,98,Up,Partial,Moderate,N/A,8,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=ORKA
TXG,57.75,41.84,5.86,71.5,No,No VCP,0,,No Pullback,0,C,8,4/36,2026-08-06,98,Up,Partial,Moderate,1/1,27,Normal,0,Normal,Minor,22,https://www.tradingview.com/chart/?symbol=TXG
DFTX,42.79,10.81,6.74,884.4,No,No VCP,0,,No Pullback,0,D,,3/36,2026-07-30,97,Up,No,Weak,N/A,0,Normal,30,Normal,Warning,45,https://www.tradingview.com/chart/?symbol=DFTX
LITE,932.47,14.15,9.03,352.8,No,No VCP,0,,No Pullback,0,C,90,6/36,2026-05-05,97,Down,No,Moderate,N/A,31,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=LITE
QMCO,21.93,78.51,6.79,1335.2,No,No VCP,0,,No Pullback,0,B,,5/36,2026-11-09,97,Up,Partial,Weak,2/2,60,Exhausted,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=QMCO
FSLY,28.53,40.99,6.75,144.6,No,No VCP,0,,No Pullback,0,B,,8/36,2026-08-05,95,Up,No,Moderate,1/1,54,Late Stage,55,Weakening,Clean,0,https://www.tradingview.com/chart/?symbol=FSLY
ALOT,28.92,11.91,0.4,127.7,No,No VCP,0,,No Pullback,0,A,78,5/36,2026-06-08,95,Up,No,Weak,1/2,0,Normal,0,Normal,Clean,8,https://www.tradingview.com/chart/?symbol=ALOT
